ID_run	Type
ERR016861	M. bovis
ERR032134	M. bovis
ERR3458083	M. bovis
ERR3458084	M. bovis
ERR3458085	M. bovis
ERR3458086	M. bovis
ERR3458080	M. bovis
ERR3458081	M. bovis
ERR3458082	M. bovis
ERR3458087	M. bovis
ERR229952	M. bovis
ERR017796	M. bovis
ERR1203064	M. bovis
ERR502499	M. bovis
ERR502526	M. bovis
ERR502529	M. bovis
ERR400386	M. bovis
ERR400460	M. bovis
ERR550755	M. bovis
ERR550954	M. bovis
ERR551009	M. bovis
ERR551191	M. bovis
ERR551252	M. bovis
ERR551917	M. bovis
ERR553061	M. bovis
SRR2101351	M. bovis
ERR125598	M. bovis
ERR841874	M. bovis
SRR5216985	M. bovis
SRR5216984	M. bovis
SRR5216983	M. bovis
SRR5216982	M. bovis
SRR5216981	M. bovis
SRR5216980	M. bovis
SRR5216979	M. bovis
SRR5216978	M. bovis
SRR5216977	M. bovis
SRR5216976	M. bovis
SRR5216975	M. bovis
SRR5216974	M. bovis
SRR5216973	M. bovis
SRR5216972	M. bovis
SRR5216971	M. bovis
SRR5216970	M. bovis
SRR5216969	M. bovis
SRR5216968	M. bovis
SRR5216967	M. bovis
SRR5216966	M. bovis
SRR5216965	M. bovis
SRR5216964	M. bovis
SRR5216963	M. bovis
SRR5216962	M. bovis
SRR5216961	M. bovis
SRR5216960	M. bovis
SRR5216959	M. bovis
SRR5216958	M. bovis
SRR5216956	M. bovis
SRR5216955	M. bovis
SRR5216953	M. bovis
SRR5216952	M. bovis
SRR5216951	M. bovis
SRR5216950	M. bovis
SRR5216946	M. bovis
SRR5216945	M. bovis
SRR5216944	M. bovis
SRR5216942	M. bovis
SRR5216938	M. bovis
SRR5216937	M. bovis
SRR5216933	M. bovis
SRR5216932	M. bovis
SRR5216931	M. bovis
SRR5216930	M. bovis
SRR5216928	M. bovis
SRR5216926	M. bovis
SRR5216925	M. bovis
SRR5216924	M. bovis
SRR5216922	M. bovis
SRR5216919	M. bovis
SRR5216920	M. bovis
SRR5216918	M. bovis
SRR5216917	M. bovis
SRR5216914	M. bovis
SRR5216912	M. bovis
SRR5216910	M. bovis
SRR5216907	M. bovis
SRR5216906	M. bovis
SRR5216905	M. bovis
SRR5216904	M. bovis
SRR5216903	M. bovis
SRR5216902	M. bovis
SRR5216900	M. bovis
SRR5216898	M. bovis
SRR5216897	M. bovis
SRR5216896	M. bovis
SRR5216895	M. bovis
SRR5216893	M. bovis
SRR5216892	M. bovis
SRR5216890	M. bovis
SRR5216879	M. bovis
SRR5216878	M. bovis
SRR5216876	M. bovis
SRR5216872	M. bovis
SRR5216868	M. bovis
SRR5216867	M. bovis
SRR5216866	M. bovis
SRR5216861	M. bovis
SRR5216858	M. bovis
SRR5216857	M. bovis
SRR5216855	M. bovis
SRR5216854	M. bovis
SRR5216850	M. bovis
SRR5216849	M. bovis
SRR5216847	M. bovis
SRR5216845	M. bovis
SRR5216842	M. bovis
SRR5216838	M. bovis
SRR5216835	M. bovis
SRR5216833	M. bovis
SRR5216828	M. bovis
SRR5216827	M. bovis
SRR5216823	M. bovis
SRR5216822	M. bovis
SRR5216818	M. bovis
SRR5216817	M. bovis
SRR5216815	M. bovis
SRR5216813	M. bovis
SRR5216809	M. bovis
SRR5216804	M. bovis
