GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_001544735.1	2855908	N/A	N/A	
GCA_000009445.1	10248	GCF_000009445.1	30988	
GCA_000010685.1	11488	GCF_000010685.1	32168	
GCA_000194075.3	965298	GCF_000194075.2	1492158	
GCA_000234725.1	315388	GCF_000234725.1	359888	
GCA_000338715.2	557698	GCF_000338715.2	557718	
GCA_000967285.1	1716158	GCF_000967285.1	1720478	
GCA_001043255.1	1849978	GCF_001043255.1	1864198	
GCA_001274555.1	2300038	GCF_001274555.1	2302528	
GCA_001580385.1	2931968	GCF_001580385.1	2939528	
GCA_015482805.1	23198118	GCF_015482805.1	23243068	
